id,source_id,season_label,season,season_type,start_date,start_time_tbd,neutral_site,conference_game,game_type,tournament,game_notes,status,home_team_id,home_team,home_conference_id,home_conference,home_seed,away_team_id,away_team,away_conference_id,away_conference,away_seed,venue_id,venue,city,state,home_rating,away_rating,proj_margin,proj_winner,home_score,away_score,mean_spread,actual_margin,VoA_AE,vegas_AE,VoA_SE,vegas_SE,VoA_correct_winner,vegas_correct_winner,VoA_ATS_winner,VoA_AEATS_winner
372256,401851715,20252026,2026,regular,2026-03-10T00:30:00.000000,false,true,true,TRNMNT,,SWAC Tournament - 1st Round,scheduled,103,Grambling,25,SWAC,,175,Mississippi Valley State,25,SWAC,,529,Gateway Center,College Park,GA,-0.614841582611362,-14.805612328665106,-14.190770746053744,Grambling,77,52,-13.5,-25,10.809229253946256,11.5,116.83943706436754,132.25,1,1,1,1
372236,401851750,20252026,2026,regular,2026-03-07T04:30:00.000000,false,true,true,TRNMNT,,West Coast Conference Tournament - 2nd Round,scheduled,262,Seattle U,31,WCC,,258,San Diego,31,WCC,,434,Orleans Arena,Las Vegas,NV,-0.2017172221234631,-4.653441916368166,-4.451724694244703,Seattle U,58,56,-8.75,-2,2.451724694244703,6.75,6.010953976369283,45.5625,1,1,1,1
372359,401851294,20252026,2026,regular,2026-03-12T01:30:00.000000,false,true,true,TRNMNT,,Phillips 66 Big 12 Tournament - 2nd Round,scheduled,287,TCU,6,Big 12,,218,Oklahoma State,6,Big 12,,394,T-Mobile Center,Kansas City,MO,3.0449188144346664,-3.815242294254844,-6.8601611086895105,TCU,95,88,-6.75,-7,0.13983889131048954,0.25,0.019554915522946907,0.0625,1,1,1,1
212091,401808286,20252026,2026,regular,2026-03-07T19:00:00.000000,false,false,true,STD,,,scheduled,292,Tennessee,24,SEC,,336,Vanderbilt,24,SEC,,9,Food City Center,Knoxville,TN,11.427033830401555,5.987340168227391,-8.439693662174165,Tennessee,82,86,-2.5,4,12.439693662174165,6.5,154.74597840873608,42.25,0,0,0,0
372272,401851591,20252026,2026,regular,2026-03-08T22:30:00.000000,false,true,true,TRNMNT,,SoCon Championship - Semifinal,scheduled,93,Furman,26,SoCon,,320,UNC Greensboro,26,SoCon,,447,Harrah's Cherokee Center,Asheville,NC,2.7473934908363304,-4.92883316616998,-7.6762266570063105,Furman,81,75,-5.75,-6,1.6762266570063105,0.25,2.8097358056585513,0.0625,1,1,1,0
372393,401851270,20252026,2026,regular,2026-03-13T15:30:00.000000,false,true,true,TRNMNT,,Atlantic 10 Championship - Quarterfinal,scheduled,252,Saint Louis,1,A-10,,96,George Washington,1,A-10,,482,PPG Paints Arena,Pittsburgh,PA,12.123886061169372,6.082582037006901,-6.041304024162471,Saint Louis,88,81,-7.25,-7,0.9586959758375286,0.25,0.9190979740870713,0.0625,1,1,1,0
215238,401825570,20252026,2026,regular,2026-03-08T16:00:00.000000,false,false,true,STD,,,scheduled,245,Rutgers,10,Big Ten,,226,Penn State,10,Big Ten,,213,Jersey Mike’s Arena,Piscataway,NJ,-5.076276996453984,-7.244747720384993,-5.168470723931009,Rutgers,74,62,-4.5,-12,6.831529276068991,7.5,46.66979224978772,56.25,1,1,1,1
212094,401808283,20252026,2026,regular,2026-03-07T18:00:00.000000,false,false,true,STD,,,scheduled,220,Ole Miss,24,SEC,,266,South Carolina,24,SEC,,18,The Sandy and John Black Pavilion at Ole Miss,Oxford,MS,-2.496590021865586,-0.5638172395122609,-1.0672272176466748,Ole Miss,61,64,-7.25,3,4.067227217646675,10.25,16.542337239965914,105.0625,0,0,1,1
372325,401851432,20252026,2026,regular,2026-03-09T23:00:00.000000,false,true,true,TRNMNT,,Barbasol Horizon League Championship - Semifinal,scheduled,357,Wright State,14,Horizon,,210,Northern Kentucky,14,Horizon,,19,Corteva Coliseum,Indianapolis,IN,2.541034046751804,0.48092457192063875,-2.0601094748311652,Wright State,103,90,-1.5,-13,10.939890525168835,11.5,119.68120470267884,132.25,1,1,1,1
215214,401827723,20252026,2026,regular,2026-03-07T22:00:00.000000,false,false,true,STD,,,scheduled,20,Baylor,6,Big 12,,331,Utah,6,Big 12,,332,Foster Pavilion,Waco,TX,2.123967786650198,-4.403628718441084,-9.527596505091282,Baylor,101,75,-12.25,-26,16.47240349490872,13.75,271.34007689908094,189.0625,1,1,0,0
372261,401851474,20252026,2026,regular,2026-03-13T00:00:00.000000,false,true,true,TRNMNT,,MEAC Tournament - Quarterfinal,scheduled,199,North Carolina Central,18,MEAC,,159,Maryland Eastern Shore,18,MEAC,,479,Norfolk Scope Arena,Norfolk,VA,-6.577330961704547,-1.3775269937797816,5.199803967924765,Maryland Eastern Shore,83,76,1.5,-7,12.199803967924765,8.5,148.83521685579285,72.25,0,0,0,0
