id,source_id,season_label,season,season_type,start_date,start_time_tbd,neutral_site,conference_game,game_type,tournament,game_notes,status,home_team_id,home_team,home_conference_id,home_conference,home_seed,away_team_id,away_team,away_conference_id,away_conference,away_seed,venue_id,venue,city,state,home_rating,away_rating,proj_margin,proj_winner
372443,401851398,20252026,2026,regular,2026-03-15T02:00:00.000000,false,true,true,TRNMNT,,Big West Championship - Final,scheduled,308,UC Irvine,11,Big West,,108,Hawai'i,11,Big West,,264,Lee's Family Forum,Henderson,NV,-0.6867145429116022,4.818673445510285,5.505387988421887,Hawai'i
372386,401851180,20252026,2026,regular,2026-03-13T01:30:00.000000,false,true,true,TRNMNT,,T. Rowe Price ACC Tournament - Quarterfinal,scheduled,200,North Carolina,2,ACC,,52,Clemson,2,ACC,,428,Spectrum Center,Charlotte,NC,6.36533208217088,6.809496826911882,0.444164744741002,Clemson
372397,401851225,20252026,2026,regular,2026-03-13T17:00:00.000000,false,true,true,TRNMNT,,American Conference Championship - Quarterfinal,scheduled,305,UAB,5,American,,48,Charlotte,5,American,,377,Legacy Arena at BJCC,Birmingham,AL,1.7662905045833952,1.5968675503426653,-0.16942295424072995,UAB
372372,401851562,20252026,2026,regular,2026-03-12T19:00:00.000000,false,true,true,TRNMNT,,SEC Tournament - 2nd Round,scheduled,292,Tennessee,24,SEC,,16,Auburn,24,SEC,,481,Bridgestone Arena,Nashville,TN,11.427033830401555,3.497365261639601,-7.929668568761954,Tennessee
372340,401851611,20252026,2026,regular,2026-03-10T23:00:00.000000,false,true,true,TRNMNT,,Southland Tournament - Semifinal,scheduled,282,Stephen F. Austin,27,Southland,,294,Texas A&M-Corpus Christi,27,Southland,,260,Legacy Center,Lake Charles,LA,8.509476313901573,0.49435810766080124,-8.015118206240771,Stephen F. Austin
215207,401822972,20252026,2026,regular,2026-03-07T02:00:00.000000,false,false,true,STD,,,scheduled,263,Seton Hall,7,Big East,,279,St. John's,7,Big East,,107,Prudential Center,Newark,NJ,4.220042017730634,6.323973753384436,-0.8960682643461979,Seton Hall
372385,401851302,20252026,2026,regular,2026-03-13T01:30:00.000000,false,true,true,TRNMNT,,Phillips 66 Big 12 Tournament - Quarterfinal,scheduled,131,Kansas,6,Big 12,,287,TCU,6,Big 12,,394,T-Mobile Center,Kansas City,MO,4.495642248816367,3.0449188144346664,-1.4507234343817004,Kansas
372438,401851317,20252026,2026,regular,2026-03-14T22:30:00.000000,false,false,true,TRNMNT,,Big East Tournament - Final,scheduled,279,St. John's,7,Big East,,314,UConn,7,Big East,,371,Madison Square Garden,New York,NY,6.323973753384436,11.391042445873566,2.06706869248913,UConn
212098,401805215,20252026,2026,regular,2026-03-08T02:00:00.000000,false,false,true,STD,,,scheduled,330,Utah Tech,30,WAC,,332,Utah Valley,30,WAC,,314,Burns Arena,St. George,UT,-1.0668895181804743,6.569384218442067,4.636273736622542,Utah Valley
372195,401851602,20252026,2026,regular,2026-03-08T22:00:00.000000,false,true,true,TRNMNT,,Southland Tournament - 1st Round,scheduled,193,New Orleans,27,Southland,,112,Houston Christian,27,Southland,,260,Legacy Center,Lake Charles,LA,1.0409234808935253,-1.8696737197897164,-2.9105972006832417,New Orleans
372242,401851583,20252026,2026,regular,2026-03-07T19:30:00.000000,false,true,true,TRNMNT,,SoCon Championship - Quarterfinal,scheduled,356,Wofford,26,SoCon,,320,UNC Greensboro,26,SoCon,,447,Harrah's Cherokee Center,Asheville,NC,-0.3684557781791966,-4.92883316616998,-4.560377387990783,Wofford
372370,401851178,20252026,2026,regular,2026-03-12T18:30:00.000000,false,true,true,TRNMNT,,T. Rowe Price ACC Tournament - Quarterfinal,scheduled,168,Miami,2,ACC,,150,Louisville,2,ACC,,428,Spectrum Center,Charlotte,NC,7.509606523460036,8.866455310377319,1.3568487869172827,Louisville
